id;y_predito;y_probabilidade
229846;1;0.76
219196;1;0.59
227108;1;0.86
162326;1;0.59
220208;1;0.7
157805;1;0.79
233371;1;0.91
259072;1;0.95
64294;1;0.79
175680;1;0.84
127134;1;0.72
153889;1;0.68
93989;1;0.58
71983;1;0.67
243561;1;0.63
100083;1;0.73
153742;1;0.55
219079;1;0.92
106344;1;0.93
125100;1;0.87
41607;1;0.72
285015;1;0.98
251805;1;0.58
283568;1;0.81
172871;1;0.88
205496;1;0.9
153027;1;0.81
86925;1;0.96
60854;1;0.92
225838;1;0.64
200050;1;0.8
112101;1;0.86
62717;1;0.81
19995;1;0.91
149473;1;0.61
61539;1;0.76
116059;1;0.87
159959;1;0.92
119155;1;0.92
105139;1;0.87
162334;1;0.6
79859;1;0.9
230015;1;0.62
137178;1;0.85
60653;1;0.8
51737;1;0.92
140547;1;0.77
174891;1;0.77
194527;1;0.94
235929;1;0.6
48521;1;0.85
204092;1;0.88
215494;1;0.76
257281;1;0.71
40900;1;0.6
82450;1;0.63
272406;1;0.87
128927;1;0.52
206100;1;0.93
285862;1;0.58
248711;0;0.44
117821;1;0.61
33982;1;0.9
147959;1;0.77
35647;1;0.77
10309;1;0.97
237300;1;0.86
251598;1;0.96
110699;1;0.83
133333;1;0.85
92886;1;0.78
212265;1;0.89
103471;1;0.8
40203;1;0.91
93410;1;0.86
14340;1;0.83
158862;1;0.83
164201;1;0.95
189611;1;0.78
265540;1;0.79
103505;1;0.67
177653;1;0.72
169553;1;0.65
26559;1;0.85
226326;1;0.72
45754;1;0.71
201517;1;0.58
48669;1;0.85
134660;1;0.79
171412;1;0.78
40049;1;0.85
254068;1;0.81
285813;1;0.91
221231;1;0.85
113168;1;0.73
116943;1;0.73
254775;1;0.64
170144;1;0.83
91826;1;0.57
153479;1;0.77
7204;0;0.49
74466;1;0.53
86728;1;0.85
169454;1;0.73
102;1;0.88
56525;0;0.5
118928;1;0.87
111954;1;0.69
244951;1;0.78
47324;1;0.71
121597;0;0.47
162730;1;0.79
159149;1;0.72
215493;0;0.47
157580;1;0.88
18158;1;0.62
213696;1;0.74
157190;1;0.51
6960;1;0.6
25738;1;0.54
5962;1;0.91
13723;1;0.88
6292;1;0.71
138226;1;0.73
246707;1;0.88
238523;1;0.71
1925;1;0.78
10071;1;0.83
63232;1;0.71
232824;1;0.65
11951;1;0.78
208031;1;0.75
35383;1;0.82
131036;1;0.74
10297;1;0.85
259017;1;0.53
40215;1;0.6
255713;1;0.84
121633;1;0.76
175096;0;0.48
167591;1;0.89
269717;1;0.78
99082;1;0.75
276006;1;0.63
144337;1;0.81
112500;1;0.59
195338;1;0.76
43513;1;0.54
209076;1;0.87
276356;1;0.54
84065;1;0.82
44358;1;0.75
147587;0;0.37
23720;1;0.93
260708;1;0.61
24271;1;0.78
273455;1;0.9
90068;1;0.89
274037;1;0.74
33656;1;0.89
180527;1;0.8
211404;1;0.76
30248;1;0.53
31926;1;0.61
69408;0;0.43
8772;1;0.58
8868;1;0.64
119105;1;0.82
56986;1;0.86
8054;1;0.87
175042;1;0.83
170182;1;0.58
150252;1;0.74
40091;1;0.75
36968;1;0.86
276913;1;0.85
13852;1;0.85
271055;1;0.87
205726;1;0.61
262268;1;0.83
219880;1;0.6
161502;1;0.86
61897;1;0.58
18555;1;0.84
157505;1;0.8
182846;1;0.92
261508;1;0.8
162505;1;0.67
264754;1;0.82
146950;1;0.86
71106;1;0.58
134620;1;0.91
101208;1;0.85
160733;1;0.73
241963;1;0.59
22235;1;0.86
237402;1;0.74
12111;1;0.66
286035;1;0.54
223875;1;0.78
84785;1;0.87
171762;1;0.8
203317;1;0.73
239159;1;0.92
73439;1;0.58
59730;1;0.65
196959;1;0.87
179098;1;0.8
165819;1;0.75
89299;1;0.7
113576;1;0.9
157537;1;0.83
75344;1;0.84
14995;1;0.74
55313;1;0.84
189663;1;0.59
56323;1;0.62
128702;1;0.96
212938;0;0.48
42322;1;0.77
82780;1;0.92
70152;1;0.72
288706;1;0.84
37860;1;0.86
262248;1;0.84
107736;1;0.75
250482;1;0.65
52201;1;0.81
43634;1;0.62
139553;1;0.85
59695;1;0.82
285648;1;0.6
182062;1;0.82
189873;1;0.59
287479;1;0.75
117677;1;0.53
208830;1;0.88
247158;1;0.8
175868;1;0.77
133316;0;0.5
231790;1;0.62
32615;1;0.86
228692;1;0.53
46655;1;0.89
46667;1;0.88
181489;1;0.9
118264;1;0.84
263587;1;0.61
70477;1;0.87
20184;0;0.47
277581;1;0.85
257892;1;0.65
244301;1;0.8
29625;1;0.89
55670;1;0.72
228736;1;0.74
27956;1;0.83
84310;1;0.88
198349;1;0.66
7437;1;0.95
275351;1;0.7
62960;1;0.69
71965;1;0.7
278371;1;0.84
274455;1;0.76
60135;1;0.8
197972;1;0.92
94739;1;0.87
86293;1;0.79
151249;1;0.75
80711;1;0.62
161911;1;0.86
193201;1;0.68
229814;1;0.85
244167;1;0.79
141266;1;0.83
211800;1;0.83
155945;1;0.71
162964;1;0.77
64816;1;0.78
120517;1;0.84
151144;1;0.91
146902;1;0.86
22984;0;0.42
83327;1;0.92
255906;1;0.51
262864;1;0.85
54631;1;0.95
264980;1;0.87
142884;1;0.81
204229;1;0.65
121999;0;0.43
63874;1;0.94
205217;1;0.7
73775;1;0.81
194599;0;0.5
193656;1;0.8
229113;1;0.88
77527;1;0.86
24677;1;0.8
29724;1;0.51
89700;1;0.93
214401;1;0.53
25293;1;0.84
159314;1;0.87
150635;1;0.63
197451;1;0.57
38078;1;0.88
250778;1;0.88
201680;1;0.66
226815;1;0.84
13536;1;0.58
30263;0;0.5
221444;1;0.66
155228;0;0.44
149630;1;0.81
172918;1;0.84
13914;1;0.84
14443;1;0.65
65689;1;0.8
94015;1;0.78
84835;1;0.54
80198;1;0.85
11602;0;0.42
149198;1;0.68
219789;1;0.58
252436;1;0.69
289344;1;0.9
129226;1;0.75
29343;1;0.86
21936;1;0.57
194320;1;0.92
288869;1;0.87
103375;1;0.82
183958;0;0.49
255322;1;0.87
273012;1;0.9
271961;1;0.87
261079;1;0.89
60198;1;0.61
271569;1;0.79
244421;1;0.52
124451;1;0.63
161059;1;0.91
105549;1;0.67
77739;1;0.57
98331;1;0.85
98944;1;0.88
259419;1;0.93
237675;1;0.89
206585;1;0.88
198054;1;0.78
278563;1;0.86
256139;1;0.78
245206;1;0.63
227447;1;0.52
258825;1;0.54
40574;1;0.88
249356;1;0.74
182749;1;0.7
127469;1;0.8
156660;0;0.5
212740;1;0.85
80979;1;0.62
199324;1;0.84
155194;1;0.81
160927;0;0.49
220841;1;0.86
249927;1;0.76
11876;1;0.9
122910;1;0.62
56626;1;0.68
128414;1;0.9
272128;1;0.84
136420;1;0.85
194059;1;0.81
274127;1;0.83
247387;1;0.81
123685;1;0.63
199744;1;0.64
191903;1;0.63
151;1;0.61
165611;1;0.67
157896;1;0.79
104837;1;0.67
49901;1;0.75
230438;1;0.59
27191;1;0.88
226136;1;0.93
200451;1;0.91
255743;1;0.68
132590;1;0.88
7891;1;0.81
44156;1;0.82
97626;1;0.66
141700;1;0.91
167505;1;0.88
71440;1;0.84
79711;1;0.69
84233;1;0.78
110958;1;0.69
101398;1;0.67
167097;1;0.73
157002;1;0.76
251729;0;0.44
24454;1;0.95
226312;1;0.74
4983;1;0.9
225072;1;0.76
166210;1;0.74
5271;1;0.74
10381;1;0.84
184092;1;0.75
96586;1;0.62
239367;1;0.8
183861;1;0.85
216518;1;0.95
172515;1;0.64
207729;1;0.95
163280;1;0.89
68024;1;0.54
94266;0;0.47
85136;0;0.44
107399;1;0.68
197927;1;0.87
153691;1;0.76
97850;1;0.69
270622;1;0.82
181215;1;0.83
83638;1;0.95
194984;1;0.85
146642;1;0.79
228771;1;0.96
21609;0;0.42
214600;1;0.97
209450;1;0.83
179301;1;0.73
191119;1;0.97
38191;1;0.71
244019;1;0.85
24291;1;0.71
226155;1;0.89
126659;1;0.68
184520;1;0.88
154991;1;0.61
61192;1;0.54
248543;1;0.69
63337;0;0.5
253239;1;0.56
175816;1;0.93
16128;1;0.75
54184;1;0.61
221148;1;0.84
156824;1;0.93
267247;1;0.76
121592;1;0.79
184762;1;0.78
64727;1;0.55
99854;1;0.6
124841;1;0.61
80805;0;0.37
244876;1;0.8
7852;1;0.87
71335;1;0.82
66268;1;0.53
204834;1;0.65
20399;1;0.66
288378;1;0.83
113567;1;0.83
28498;1;0.61
24727;1;0.68
213334;1;0.88
195673;0;0.48
153223;1;0.86
202694;1;0.78
72510;1;0.75
288941;1;0.74
43467;1;0.58
6861;1;0.77
66279;0;0.35
282073;1;0.55
128624;1;0.77
264719;1;0.91
108638;1;0.63
53063;1;0.86
210304;1;0.83
160124;1;0.77
50951;1;0.73
219004;1;0.64
211767;0;0.44
195750;1;0.57
160371;1;0.84
41289;1;0.96
234984;1;0.74
195652;1;0.84
181257;1;0.89
200493;1;0.71
100531;1;0.89
145586;1;0.63
272589;1;0.91
39412;1;0.87
156726;1;0.6
125420;1;0.84
93392;1;0.87
17078;1;0.86
84130;1;0.65
70482;1;0.53
76793;1;0.86
243150;1;0.81
148406;1;0.81
32844;1;0.84
77147;1;0.7
162890;1;0.77
46309;1;0.71
52725;1;0.84
153795;1;0.6
177807;1;0.78
266316;1;0.91
150646;1;0.91
229090;1;0.79
214828;1;0.89
143479;0;0.46
271332;1;0.84
237586;0;0.44
175839;1;0.86
203744;1;0.9
63976;1;0.69
255422;1;0.89
267870;1;0.85
18171;1;0.84
12022;1;0.92
280471;1;0.95
232677;1;0.76
235711;1;0.67
64765;1;0.86
42216;1;0.89
45710;1;0.71
48278;1;0.82
135585;1;0.87
6645;1;0.79
186737;1;0.82
104729;1;0.63
229684;1;0.75
36750;1;0.76
63999;1;0.81
3315;1;0.87
44423;1;0.93
168287;1;0.83
147945;1;0.52
94402;1;0.71
115386;1;0.92
287249;1;0.83
208396;1;0.73
227852;1;0.68
245975;1;0.84
17194;1;0.58
95755;1;0.74
281932;1;0.6
270873;1;0.95
50615;1;0.74
118235;1;0.65
54601;1;0.7
116378;1;0.9
138462;1;0.88
3816;1;0.83
206481;1;0.79
100142;1;0.74
151809;1;0.69
37658;1;0.9
245080;1;0.89
77688;1;0.54
187474;1;0.58
199283;1;0.94
32171;1;0.59
101828;1;0.72
140246;1;0.84
67474;1;0.88
45160;1;0.82
157150;1;0.78
267358;1;0.71
67362;1;0.65
258198;1;0.89
153674;1;0.85
151563;1;0.84
190075;1;0.93
220203;1;0.74
15436;1;0.86
100851;1;0.82
61115;1;0.96
176412;1;0.7
67315;1;0.74
34275;1;0.74
159400;1;0.75
54422;1;0.58
205012;1;0.73
28052;1;0.88
258968;1;0.68
153269;1;0.79
87319;1;0.62
36862;1;0.84
278476;1;0.67
162455;1;0.83
171175;1;0.89
60856;1;0.7
229537;1;0.88
101250;1;0.93
77224;1;0.85
42699;1;0.78
255588;1;0.79
281553;1;0.7
119984;1;0.7
114117;1;0.75
51082;1;0.83
197938;1;0.73
203068;1;0.91
259516;1;0.81
209666;1;0.84
264421;1;0.56
106191;1;0.86
62832;1;0.83
286131;1;0.76
183962;1;0.93
148414;1;0.56
202509;1;0.96
90945;1;0.6
84558;1;0.59
118886;0;0.5
55568;1;0.63
145494;0;0.4
245017;1;0.9
280159;1;0.88
259809;1;0.91
285327;1;0.89
106441;1;0.83
268787;1;0.95
152929;1;0.77
226753;1;0.93
274278;1;0.53
204963;1;0.68
268815;1;0.66
166820;1;0.58
260939;1;0.82
282332;1;0.82
205877;1;0.86
244457;1;0.82
142489;1;0.9
284844;1;0.74
265529;1;0.82
137336;1;0.89
175747;1;0.8
137009;1;0.94
13821;1;0.86
63970;1;0.85
46242;1;0.75
17786;1;0.59
284015;1;0.9
39823;1;0.75
345;1;0.92
56640;1;0.96
48875;1;0.9
194038;1;0.85
54364;1;0.71
225707;1;0.76
59297;1;0.91
245949;1;0.86
151347;1;0.73
255539;1;0.55
5244;1;0.76
126116;1;0.59
178085;0;0.38
172120;1;0.74
16997;1;0.67
216316;1;0.63
182373;1;0.59
162712;1;0.63
36319;1;0.68
54493;1;0.77
92873;1;0.66
28301;1;0.92
40564;1;0.92
99743;1;0.55
140564;1;0.72
267865;1;0.87
124914;1;0.82
97313;1;0.75
176411;1;0.71
252508;1;0.85
177418;1;0.84
224339;1;0.88
194558;1;0.67
167055;1;0.87
112630;1;0.91
98084;1;0.52
254131;1;0.89
149158;0;0.5
128776;1;0.9
60606;1;0.8
175767;1;0.79
206727;1;0.82
41085;1;0.86
155025;1;0.52
276721;1;0.69
228912;1;0.89
137011;1;0.75
233798;1;0.93
204337;1;0.86
182047;1;0.86
90999;1;0.57
270450;1;0.59
238847;0;0.5
59858;1;0.83
261086;1;0.81
81684;1;0.52
26834;1;0.88
281177;0;0.44
141900;1;0.84
178951;1;0.72
237123;1;0.83
258554;1;0.85
143420;1;0.95
260046;1;0.86
113423;1;0.95
241893;1;0.53
39967;1;0.85
223017;1;0.63
284019;1;0.68
157309;1;0.83
99782;1;0.92
212579;1;0.78
205889;1;0.55
188756;1;0.59
192053;1;0.91
238641;1;0.63
195897;1;0.81
73352;1;0.7
185750;1;0.88
152854;1;0.69
55376;1;0.72
43201;1;0.91
233295;1;0.65
116864;1;0.84
50287;1;0.85
289120;1;0.83
39161;1;0.84
153418;1;0.78
198662;1;0.79
24256;1;0.84
222775;1;0.86
192247;1;0.76
36937;1;0.9
98923;1;0.82
39770;1;0.88
74388;1;0.87
150509;1;0.75
142425;1;0.56
194333;1;0.64
199790;1;0.72
36647;1;0.89
25692;1;0.73
176443;1;0.67
254063;1;0.62
199581;1;0.84
53185;1;0.66
158410;1;0.83
198559;1;0.55
53412;1;0.89
185728;1;0.83
55586;1;0.81
56293;1;0.84
178750;1;0.93
62355;1;0.91
49718;1;0.86
194460;1;0.82
168158;1;0.64
131487;1;0.87
51554;1;0.85
287412;1;0.85
124903;1;0.62
109654;1;0.75
13702;1;0.85
125180;1;0.8
190828;1;0.73
160912;1;0.89
255970;1;0.74
241837;1;0.58
136016;1;0.73
94877;1;0.89
65942;1;0.8
280264;1;0.8
285063;0;0.43
99837;0;0.48
191908;1;0.62
165240;0;0.48
232361;1;0.61
207751;1;0.63
277329;1;0.88
153471;0;0.45
285678;1;0.53
279232;1;0.61
111693;1;0.62
39869;1;0.86
103936;1;0.64
84648;1;0.86
140496;0;0.42
212914;1;0.6
52432;1;0.59
17350;1;0.7
230568;1;0.96
88196;1;0.54
239956;1;0.79
203218;1;0.74
264170;1;0.78
6983;1;0.63
42667;1;0.58
238640;0;0.5
198247;1;0.84
279196;1;0.94
156901;1;0.84
202503;1;0.81
119772;1;0.83
258122;1;0.85
253213;1;0.51
155130;1;0.52
212173;1;0.81
261995;1;0.88
74603;1;0.85
175239;1;0.52
179767;1;0.89
272324;1;0.79
125383;1;0.75
241758;0;0.41
50903;1;0.87
12778;1;0.87
281230;1;0.86
255180;1;0.78
190898;1;0.88
88237;1;0.52
248919;1;0.69
6696;1;0.84
143940;1;0.91
111364;1;0.84
148146;1;0.76
100753;1;0.83
153969;1;0.83
25385;1;0.87
91191;0;0.45
154490;1;0.81
135973;1;0.66
33816;1;0.89
286896;1;0.86
208280;1;0.64
252808;1;0.91
31462;1;0.75
114146;1;0.72
187711;1;0.7
8391;1;0.85
112695;1;0.7
248662;1;0.87
104150;1;0.82
156065;1;0.74
191224;1;0.91
226764;1;0.77
246048;1;0.61
180727;1;0.71
165684;1;0.86
174763;1;0.88
218804;1;0.85
151200;1;0.68
70574;1;0.53
280969;1;0.87
223394;1;0.85
278851;1;0.8
23729;1;0.71
288998;1;0.79
68777;1;0.78
172827;1;0.7
232661;1;0.87
173566;0;0.47
111234;1;0.61
242084;1;0.63
229080;1;0.87
46912;1;0.84
248354;1;0.88
112033;1;0.83
49719;1;0.88
41714;1;0.93
107563;1;0.93
75686;1;0.75
171588;1;0.82
226526;1;0.93
61333;1;0.9
248511;1;0.82
219127;1;0.92
167852;1;0.92
134801;1;0.61
46235;1;0.58
111378;0;0.36
200863;1;0.86
68802;1;0.8
98535;1;0.72
107870;1;0.8
198899;1;0.77
7228;1;0.94
38470;1;0.84
181776;1;0.81
27400;1;0.92
147050;1;0.87
25315;1;0.85
52667;1;0.94
281940;0;0.5
286662;1;0.95
74204;1;0.88
126125;0;0.49
145218;1;0.63
267974;1;0.84
116500;1;0.73
17308;1;0.67
20959;1;0.78
139027;1;0.94
87935;1;0.71
45397;1;0.84
241681;1;0.63
185133;1;0.72
230147;0;0.42
156087;1;0.71
211931;1;0.9
14295;1;0.51
80043;1;0.71
133793;1;0.88
48559;1;0.77
41047;1;0.94
252569;1;0.78
100650;1;0.89
287886;1;0.8
132545;1;0.73
195625;1;0.57
258487;1;0.85
168266;1;0.58
173627;0;0.48
161338;1;0.94
106586;1;0.87
240438;1;0.96
62704;1;0.85
175789;1;0.68
39092;1;0.89
77505;1;0.58
71555;1;0.8
124677;1;0.52
147498;1;0.75
107679;1;0.91
28710;1;0.93
63995;1;0.93
141557;1;0.77
264335;1;0.89
14688;1;0.72
280968;1;0.91
279855;1;0.89
257790;1;0.68
82766;1;0.92
111889;1;0.66
255945;0;0.48
252000;1;0.8
161612;1;0.87
196166;1;0.84
8060;1;0.74
199355;1;0.67
221422;1;0.82
198266;1;0.73
254191;1;0.85
259226;1;0.76
176716;1;0.51
54694;0;0.5
286643;1;0.54
56802;1;0.69
42450;1;0.83
91368;1;0.62
168727;1;0.81
32925;1;0.76
100993;1;0.68
182628;1;0.9
270093;1;0.88
237110;1;0.73
254286;0;0.27
216772;1;0.55
276340;1;0.6
159396;1;0.79
77777;1;0.9
198797;1;0.52
222657;1;0.72
247611;1;0.86
199846;0;0.49
140803;1;0.66
41454;1;0.85
287575;1;0.87
30502;1;0.83
261740;1;0.82
289240;1;0.72
281663;1;0.68
179557;1;0.67
68792;1;0.87
160014;1;0.93
67334;1;0.84
162184;1;0.93
152140;1;0.53
39891;1;0.84
55834;1;0.86
162609;1;0.6
154544;1;0.53
220856;1;0.89
164234;1;0.89
38551;1;0.84
4843;1;0.84
38995;1;0.7
264874;1;0.57
231753;1;0.67
261735;0;0.39
284652;1;0.84
137476;1;0.67
268723;1;0.89
147092;1;0.8
263496;1;0.85
232481;1;0.87
81955;1;0.58
97512;1;0.94
136172;1;0.81
258224;1;0.77
33444;1;0.83
275798;1;0.67
237501;1;0.74
272552;1;0.88
163437;1;0.87
238556;1;0.73
217190;1;0.74
93994;1;0.93
65968;1;0.84
287265;1;0.92
45962;0;0.45
191401;1;0.85
102665;1;0.58
180763;1;0.74
69898;1;0.81
209077;1;0.63
208551;1;0.66
274569;1;0.68
165416;1;0.59
24331;1;0.76
84600;1;0.69
197256;1;0.8
1869;1;0.94
96693;1;0.91
167624;1;0.76
178378;1;0.88
200529;1;0.86
184908;1;0.85
240034;1;0.72
236702;1;0.64
176553;1;0.8
222264;1;0.91
55452;1;0.79
18903;1;0.84
148835;1;0.8
209601;1;0.87
265004;1;0.91
120248;1;0.81
287759;1;0.68
72464;1;0.72
10146;1;0.93
174479;1;0.95
67666;1;0.85
93844;1;0.79
263782;1;0.9
36194;1;0.66
224099;1;0.91
119558;1;0.83
50556;1;0.93
37002;1;0.84
224362;1;0.66
32597;1;0.8
251676;1;0.97
156611;1;0.63
167677;1;0.61
284693;1;0.68
214916;1;0.69
38048;1;0.72
135138;1;0.67
209962;1;0.81
10141;1;0.6
145673;1;0.69
155511;1;0.83
124878;1;0.71
171560;1;0.85
132399;1;0.8
158725;1;0.7
179996;1;0.66
6771;1;0.85
99886;1;0.54
114664;1;0.75
79003;1;0.75
247528;1;0.92
197531;1;0.93
77262;1;0.86
179375;1;0.78
128912;1;0.57
35801;1;0.74
46626;1;0.82
80829;0;0.48
64274;1;0.84
77514;1;0.83
209088;1;0.87
158741;1;0.55
234351;1;0.95
187973;1;0.74
118673;1;0.77
146544;1;0.92
249172;1;0.52
128199;1;0.86
102419;1;0.81
146888;1;0.84
259403;1;0.85
135310;1;0.68
20090;1;0.82
281947;1;0.89
253274;1;0.84
44535;1;0.9
170961;1;0.83
279967;1;0.6
202505;1;0.62
83357;1;0.78
109010;1;0.84
89329;1;0.8
266505;1;0.79
278289;1;0.66
156128;1;0.86
21896;1;0.71
125041;1;0.78
239302;1;0.94
246199;1;0.55
217175;1;0.72
84184;1;0.73
211907;1;0.81
283510;1;0.88
182431;0;0.42
279110;1;0.86
177235;1;0.85
97632;1;0.64
225849;1;0.79
52812;1;0.83
262732;0;0.47
187096;1;0.87
17888;1;0.81
273408;1;0.64
188595;1;0.66
200213;1;0.54
79374;1;0.57
40030;1;0.8
58983;1;0.82
174246;1;0.81
62402;1;0.69
6272;1;0.63
84380;1;0.89
243442;1;0.92
147042;1;0.78
19780;1;0.86
153341;1;0.79
145058;1;0.54
11766;1;0.78
191138;1;0.92
112441;1;0.77
129062;1;0.54
240242;1;0.89
53064;1;0.63
112405;1;0.79
119849;1;0.81
